time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
8.333333315295639e-02	3.600000e+00	1.799999e-06	5.919946e-01	3.131553e-01
8.333333903057148e-02	3.600000e+00	1.799999e-06	1.442958e+00	3.131553e-01
8.333334473969886e-02	3.600000e+00	1.799999e-06	2.139136e+00	3.131553e-01
8.333334856199584e-02	3.600000e+00	1.799999e-06	2.339872e+00	3.131553e-01
8.333335300744796e-02	3.600000e+00	1.799999e-06	2.525676e+00	3.131552e-01
8.333336189835219e-02	3.599999e+00	1.799999e-06	2.804552e+00	3.131552e-01
8.333337618023630e-02	3.599999e+00	1.799999e-06	3.107214e+00	3.131551e-01
8.333339251348802e-02	3.599999e+00	1.799999e-06	3.309528e+00	3.131551e-01
8.333341366983180e-02	3.599999e+00	1.799998e-06	3.440401e+00	3.131550e-01
8.333343957447122e-02	3.599998e+00	1.799998e-06	3.509500e+00	3.131549e-01
8.333347652715792e-02	3.599998e+00	1.799998e-06	3.542479e+00	3.131548e-01
8.333352629075182e-02	3.599997e+00	1.799998e-06	3.553092e+00	3.131545e-01
8.333360564421434e-02	3.599996e+00	1.799997e-06	3.555036e+00	3.131542e-01
8.333374082747891e-02	3.599993e+00	1.799996e-06	3.555099e+00	3.131537e-01
8.333401119400806e-02	3.599989e+00	1.799994e-06	3.555085e+00	3.131526e-01
8.333455192706636e-02	3.599980e+00	1.799989e-06	3.555079e+00	3.131504e-01
8.333563339318295e-02	3.599962e+00	1.799980e-06	3.555061e+00	3.131460e-01
8.333779632541614e-02	3.599927e+00	1.799963e-06	3.555027e+00	3.131372e-01
8.334212218988253e-02	3.599857e+00	1.799927e-06	3.554959e+00	3.131196e-01
8.335077391881529e-02	3.599715e+00	1.799857e-06	3.554823e+00	3.130844e-01
8.336807737668082e-02	3.599433e+00	1.799715e-06	3.554550e+00	3.130140e-01
8.340268429241189e-02	3.598867e+00	1.799433e-06	3.554004e+00	3.128733e-01
8.347189812387402e-02	3.597735e+00	1.798867e-06	3.552912e+00	3.125920e-01
8.361032578679829e-02	3.595467e+00	1.797733e-06	3.550722e+00	3.120301e-01
8.388718111264683e-02	3.590914e+00	1.795456e-06	3.546320e+00	3.109090e-01
8.444089176434390e-02	3.581742e+00	1.790870e-06	3.537439e+00	3.086780e-01
8.639401676434390e-02	3.548398e+00	1.774198e-06	3.505211e+00	3.008002e-01
8.834714176434390e-02	3.514446e+00	1.757222e-06	3.472330e+00	2.932592e-01
9.030026676434390e-02	3.479884e+00	1.739941e-06	3.438796e+00	2.860550e-01
9.225339176434390e-02	3.444714e+00	1.722356e-06	3.404609e+00	2.791876e-01
9.420651676434390e-02	3.408936e+00	1.704467e-06	3.369769e+00	2.726570e-01
9.615964176434390e-02	3.372549e+00	1.686273e-06	3.334275e+00	2.664632e-01
9.811276676434390e-02	3.335553e+00	1.667775e-06	3.298129e+00	2.606062e-01
9.908932926434390e-02	3.317163e+00	1.658581e-06	3.280138e+00	2.578723e-01
9.960000000000001e-02	3.307540e+00	1.653769e-06	3.270711e+00	2.565004e-01
9.970000000000001e-02	3.305655e+00	1.652827e-06	3.268864e+00	2.562357e-01
9.990000000000000e-02	3.301885e+00	1.650942e-06	3.265169e+00	2.557106e-01
1.000000000000000e-01	3.300000e+00	1.649999e-06	3.263312e+00	2.554497e-01
1.000100000000000e-01	3.299812e+00	1.649905e-06	3.263134e+00	2.554237e-01
1.000300000000000e-01	3.299434e+00	1.649716e-06	3.262767e+00	2.553717e-01
1.000600000000000e-01	3.298869e+00	1.649434e-06	3.262213e+00	2.552939e-01
1.001000000000000e-01	3.298115e+00	1.649057e-06	3.261473e+00	2.551903e-01
1.001040000000000e-01	3.298040e+00	1.649019e-06	3.261400e+00	2.551799e-01
1.001120000000000e-01	3.297889e+00	1.648944e-06	3.261252e+00	2.551593e-01
1.003780703125000e-01	3.292873e+00	1.646436e-06	3.256333e+00	2.544767e-01
1.006441406250000e-01	3.287858e+00	1.643928e-06	3.251415e+00	2.538028e-01
1.009102109375000e-01	3.282845e+00	1.641422e-06	3.246497e+00	2.531378e-01
1.011762812500000e-01	3.277833e+00	1.638916e-06	3.241579e+00	2.524815e-01
1.014423515625000e-01	3.272822e+00	1.636410e-06	3.236661e+00	2.518340e-01
1.017084218750000e-01	3.267813e+00	1.633906e-06	3.231743e+00	2.511953e-01
