time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
4.270115586896686e-02	3.884329e+00	1.942164e-06	7.674181e-06	3.932381e-01
4.437526301182401e-02	3.890667e+00	1.945332e-06	7.577736e-06	3.995225e-01
4.604937015468115e-02	3.895368e+00	1.947683e-06	7.482376e-06	4.055656e-01
4.772347729753829e-02	3.898434e+00	1.949216e-06	7.388101e-06	4.113673e-01
4.939758444039544e-02	3.899865e+00	1.949932e-06	7.294909e-06	4.169277e-01
5.107169158325257e-02	3.899660e+00	1.949829e-06	7.202802e-06	4.222467e-01
5.260628979753829e-02	3.897960e+00	1.948979e-06	7.119523e-06	4.268392e-01
5.414088801182401e-02	3.894897e+00	1.947448e-06	7.037388e-06	4.311417e-01
5.567548622610972e-02	3.890472e+00	1.945235e-06	6.956397e-06	4.351542e-01
5.721008444039544e-02	3.884685e+00	1.942341e-06	6.876550e-06	4.388767e-01
5.874468265468115e-02	3.877535e+00	1.938766e-06	6.797848e-06	4.423091e-01
6.027928086896686e-02	3.869023e+00	1.934510e-06	6.720290e-06	4.454515e-01
6.181387908325257e-02	3.859148e+00	1.929573e-06	6.643876e-06	4.483039e-01
6.390651301182400e-02	3.843414e+00	1.921706e-06	6.541596e-06	4.516604e-01
6.599914694039544e-02	3.825553e+00	1.912776e-06	6.441798e-06	4.544032e-01
6.809178086896686e-02	3.805565e+00	1.902781e-06	6.344483e-06	4.565324e-01
7.018441479753829e-02	3.783448e+00	1.891723e-06	6.249649e-06	4.580478e-01
7.227704872610972e-02	3.759204e+00	1.879601e-06	6.157297e-06	4.589496e-01
7.436968265468115e-02	3.732832e+00	1.866415e-06	6.067428e-06	4.592376e-01
7.646231658325257e-02	3.704333e+00	1.852165e-06	5.980040e-06	4.589120e-01
7.729937015468115e-02	3.692515e+00	1.846257e-06	5.945885e-06	4.586104e-01
7.813642372610971e-02	3.680448e+00	1.840223e-06	5.912178e-06	4.582158e-01
7.897347729753829e-02	3.668130e+00	1.834064e-06	5.878918e-06	4.577281e-01
7.981053086896686e-02	3.655563e+00	1.827780e-06	5.846107e-06	4.571473e-01
8.064758444039544e-02	3.642745e+00	1.821372e-06	5.813744e-06	4.564734e-01
8.148463801182400e-02	3.629678e+00	1.814838e-06	5.781829e-06	4.557065e-01
8.232169158325257e-02	3.616360e+00	1.808179e-06	5.750362e-06	4.548464e-01
8.329825408325257e-02	3.600572e+00	1.800285e-06	5.714108e-06	4.537629e-01
8.331351287231507e-02	3.600323e+00	1.800161e-06	5.713537e-06	4.537451e-01
8.331732756958070e-02	3.600261e+00	1.800130e-06	5.713394e-06	4.537405e-01
8.332495696411195e-02	3.600137e+00	1.800067e-06	5.713114e-06	4.537313e-01
8.333332808439793e-02	3.600000e+00	1.799999e-06	5.712808e-06	4.537212e-01
8.333333230701752e-02	3.600000e+00	1.799999e-06	1.092914e-01	4.537212e-01
8.333333420717119e-02	3.600000e+00	1.799999e-06	3.715990e-01	4.537212e-01
8.333333604696271e-02	3.600000e+00	1.799999e-06	8.131096e-01	4.537212e-01
8.333333727023803e-02	3.600000e+00	1.799999e-06	1.087737e+00	4.537212e-01
8.333333867511282e-02	3.600000e+00	1.799999e-06	1.329497e+00	4.537212e-01
8.333334148486239e-02	3.600000e+00	1.799999e-06	1.706919e+00	4.537212e-01
8.333334512325387e-02	3.600000e+00	1.799999e-06	2.078209e+00	4.537212e-01
8.333335019541400e-02	3.600000e+00	1.799999e-06	2.453112e+00	4.537212e-01
8.333335706695452e-02	3.600000e+00	1.799999e-06	2.797807e+00	4.537212e-01
8.333336838237210e-02	3.599999e+00	1.799999e-06	3.139339e+00	4.537212e-01
8.333338266009997e-02	3.599999e+00	1.799999e-06	3.359227e+00	4.537211e-01
8.333340167167680e-02	3.599999e+00	1.799999e-06	3.476217e+00	4.537211e-01
8.333342474634699e-02	3.599998e+00	1.799998e-06	3.520196e+00	4.537211e-01
8.333345868435027e-02	3.599998e+00	1.799998e-06	3.533150e+00	4.537210e-01
8.333350974024498e-02	3.599997e+00	1.799998e-06	3.535308e+00	4.537210e-01
8.333361059341106e-02	3.599995e+00	1.799997e-06	3.535299e+00	4.537209e-01
8.333381229974321e-02	3.599992e+00	1.799995e-06	3.535296e+00	4.537206e-01
8.333421571240751e-02	3.599986e+00	1.799992e-06	3.535290e+00	4.537201e-01
8.333502253773613e-02	3.599972e+00	1.799985e-06	3.535277e+00	4.537192e-01
8.333663618839335e-02	3.599946e+00	1.799972e-06	3.535251e+00	4.537172e-01
8.333986348970780e-02	3.599893e+00	1.799946e-06	3.535198e+00	4.537133e-01
8.334631809233671e-02	3.599788e+00	1.799893e-06	3.535094e+00	4.537055e-01
8.335922729759451e-02	3.599577e+00	1.799788e-06	3.534886e+00	4.536899e-01
8.338504570811012e-02	3.599155e+00	1.799577e-06	3.534469e+00	4.536587e-01
8.338827397431008e-02	3.599103e+00	1.799550e-06	3.534416e+00	4.536548e-01
8.339473050670999e-02	3.598997e+00	1.799498e-06	3.534312e+00	4.536469e-01
8.339634463980998e-02	3.598971e+00	1.799484e-06	3.534286e+00	4.536450e-01
8.339957290600994e-02	3.598918e+00	1.799458e-06	3.534234e+00	4.536411e-01
8.340037997255993e-02	3.598905e+00	1.799452e-06	3.534220e+00	4.536401e-01
8.340199410565992e-02	3.598878e+00	1.799438e-06	3.534194e+00	4.536381e-01
8.340239763893491e-02	3.598872e+00	1.799435e-06	3.534188e+00	4.536376e-01
8.340320470548490e-02	3.598859e+00	1.799428e-06	3.534175e+00	4.536366e-01
